1-1,10,ยืนตัวตรง นำมือทั้งสองข้างจับเก้าอี้หรือโต๊ะไว้,Back Stretch,stretch
1-2,10,เขย่งปลายเท้าขึ้น,Back Stretch,stretch
1-3,10,กลับมายืนเต็มเท้าเหมือนเดิม,Back Stretch,stretch
1-4,10,ทำขั้นตอนที่ 2-3 ซ้ำไปเรื่อยๆ,Back Stretch,stretch
2-1,8,พาดแขนขวาไปทางด้านหลัง,Back Chair Stretch,stretch
2-2,8,ใช้มือซ้ายดันแขนขวาไปด้านหลังให้ตึง,Back Chair Stretch,stretch
2-3,8,ทำท่านี้ค้างไว้ประมาณ 10 วินาที,Back Chair Stretch,stretch
2-4,8,ทำซ้ำเช่นเดิมกับแขนอีกข้างหนึ่ง,Back Chair Stretch,stretch
3-1,12,ยืนหันหลังให้กับโต๊ะ ,Reverse Plank,stretch
3-2,12,นำมือทั้งสองข้างจับโต๊ะไว้,Reverse Plank,stretch
3-3,12,ยืดตัวไปด้านหน้าให้ตึง,Reverse Plank,stretch
3-4,12,ทำท่านี้ค้างไว้ประมาณ 10 วินาที,Reverse Plank,stretch
4-1,9,ยืนตัวตรง นำมือทั้งสองข้างจับเก้าอี้หรือโต๊ะไว้,Calf Raises,stretch
4-2,9,เขย่งปลายเท้าขึ้น,Calf Raises,stretch
4-3,9,กลับมายืนเต็มเท้าเหมือนเดิม,Calf Raises,stretch
4-4,9,ทำขั้นตอนที่ 2-3 ซ้ำไปเรื่อยๆ,Calf Raises,stretch
5-1,13,พาดแขนขวาไปทางด้านหลัง,Tricep Stretch,stretch
5-2,13,ใช้มือซ้ายดันแขนขวาไปด้านหลังให้ตึง,Tricep Stretch,stretch
5-3,13,ทำท่านี้ค้างไว้ประมาณ 10 วินาที,Tricep Stretch,stretch
5-4,13,ทำซ้ำเช่นเดิมกับแขนอีกข้างหนึ่ง,Tricep Stretch,stretch
6-1,9,ยืดแขนขวาไปด้านหน้าในระดับไหล่ ,Shoulder Stretch,stretch
6-2,9,นำแขนซ้ายมาไขว้ไว้บริเวณข้อศอกของแขนขวา,Shoulder Stretch,stretch
6-3,9,ใช้แขนซ้ายดันแขนขวาเข้าหาตัวให้ตึง,Shoulder Stretch,stretch
6-4,9,ทำซ้ำเช่นเดิมกับแขนอีกข้างหนึ่ง,Shoulder Stretch,stretch
7-1,8,ยืนตัวตรง กางขาเท่ากับความกว้างของไหล่,Side Turn,stretch
7-2,8,ยกแขนข้างหนึ่งขึ้น,Side Turn,stretch
7-3,8,เอียงตัวไปทางด้านตรงข้ามกับแขนที่ยก แล้วค้างไว้ 10 วินาที,Side Turn,stretch
7-4,8,ทำซ้ำเช่นเดิมกับแขนอีกข้างหนึ่ง,Side Turn,stretch
nope,2,วิ่งสิจ๊ะรออะไรอยู่,วิ่งหน้าวิ่ง,sprint
